route_id,sequence,type,name,lat,lon,prev_lat,prev_lon,dist_from_prev
route_0,0,Location,Torre,43.723,10.398,,,
route_0,1,Stop,,43.722,10.401,43.723,10.398,265.49
route_0,2,Stop,,43.721,10.399,43.722,10.401,195.44
route_0,3,Stop,,43.719,10.397,43.721,10.399,274.39
route_0,4,Stop,,43.717,10.396,43.719,10.397,236.47
route_0,5,Stop,,43.715,10.396,43.717,10.396,222.39
route_0,6,Stop,,43.714,10.394,43.715,10.396,195.45
route_0,7,Stop,,43.712,10.391,43.714,10.394,328.02
route_0,8,Stop,,43.711,10.394,43.712,10.391,265.53
route_0,9,Stop,,43.71,10.396,43.711,10.394,195.46
route_0,10,Location,Stazione Pisa Centrale,43.709,10.397,43.71,10.396,137.20
route_1,0,Location,Torre,43.723,10.398,,,
route_1,1,Stop,,43.722,10.401,43.723,10.398,265.49
route_1,2,Stop,,43.723,10.402,43.722,10.401,137.19
route_1,3,Stop,,43.724,10.406,43.723,10.402,340.12
route_1,4,Stop,,43.724,10.407,43.724,10.406,80.36
route_1,5,Stop,,43.724,10.408,43.724,10.407,80.36
route_1,6,Stop,,43.722,10.409,43.724,10.408,236.46
route_1,7,Stop,,43.721,10.411,43.722,10.409,195.44
route_1,8,Stop,,43.72,10.412,43.721,10.411,137.20
route_1,9,Stop,,43.719,10.409,43.72,10.412,265.50
route_1,10,Location,Universita di Pisa,43.719,10.408,43.719,10.409,80.36
route_1042,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1042,1,Stop,,43.71,10.415,43.713,10.418,411.61
route_1042,2,Stop,,43.71,10.411,43.71,10.415,321.51
route_1042,3,Stop,,43.71,10.406,43.71,10.411,401.88
route_1042,4,Stop,,43.709,10.402,43.71,10.406,340.20
route_1042,5,Stop,,43.706,10.402,43.709,10.402,333.58
route_1042,6,Stop,,43.702,10.4,43.706,10.402,472.94
route_1042,7,Stop,,43.7,10.398,43.702,10.4,274.42
route_1042,8,Stop,,43.7,10.396,43.7,10.398,160.78
route_1042,9,Stop,,43.7,10.39,43.7,10.396,482.34
route_1042,10,Location,Conad Pian di Marco,43.703,10.387,43.7,10.39,411.63
route_1043,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1043,1,Stop,,43.71,10.412,43.713,10.418,586.38
route_1043,2,Stop,,43.71,10.408,43.71,10.412,321.51
route_1043,3,Stop,,43.71,10.403,43.71,10.408,401.88
route_1043,4,Stop,,43.706,10.403,43.71,10.403,444.78
route_1043,5,Stop,,43.702,10.401,43.706,10.403,472.94
route_1043,6,Stop,,43.699,10.397,43.702,10.401,463.33
route_1043,7,Stop,,43.696,10.395,43.699,10.397,370.31
route_1043,8,Stop,,43.696,10.386,43.696,10.395,723.56
route_1043,9,Stop,,43.696,10.385,43.696,10.386,80.40
route_1043,10,Location,Hotel Galilei Pisa,43.693,10.387,43.696,10.385,370.32
route_1044,0,Location,Via Cisanello 170,43.713,10.418,,,
route_1044,1,Stop,,43.712,10.418,43.713,10.418,111.19
route_1044,2,Stop,,43.712,10.417,43.712,10.418,80.37
route_1044,3,Stop,,43.712,10.417,43.712,10.417,0.00
route_1044,4,Stop,,43.711,10.417,43.712,10.417,111.19
route_1044,5,Stop,,43.71,10.415,43.711,10.417,195.46
route_1044,6,Stop,,43.71,10.415,43.71,10.415,0.00
route_1044,7,Stop,,43.71,10.415,43.71,10.415,0.00
route_1044,8,Stop,,43.71,10.413,43.71,10.415,160.75
